fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,via_ingreso,consultante_provincia,consultante_como_conocio_la_linea,consultante_edad_aparente
2020-01-04,,6505554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,Línea 145,Buenos Aires,,
2020-01-05,,515554505,Urgencia,Ciudadano,No,Violencia de género,Sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,Ciudad Autónoma de Buenos Aires,,15.0
2020-01-05,,1515554505,Urgencia,Ciudadano,No,Violencia de género,Física,Córdoba,Córdoba,Línea 145,,,
2020-01-06,,4515554505,Urgencia,Ciudadano,No,Trata,"Posible captación, abuso sexual",Buenos Aires,Hurlingham,Línea 145,Buenos Aires,,
2020-01-06,,6515554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-09,,8445554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,,"No sabe, no recuerda",
2020-01-09,,1545554505,Urgencia,Ciudadano,No,Relaciones de familia,Disputas familiares,Tucumán,Tucumán,Línea 145,,"No sabe, no recuerda",
2020-01-09,,3545554505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,Salta,Salta,Línea 145,,Por publicidad en internet,30.0
2020-01-10,,6545554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Entre Ríos,,Línea 145,,"No sabe, no recuerda",
2020-01-10,,555554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,,
2020-01-11,,5555554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Cañuelas,Línea 145,Buenos Aires,Derivado de otro organismo,32.0
2020-01-11,,7555554505,Urgencia,Institución,No,Víctima de delito,"Contra la integridad sexual: corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming, contra la libertad: trata de personas con fines de explotación sexual o laboral",,,Línea 145,,Derivado de otro organismo,
2020-01-12,,3565554505,Urgencia,Ciudadano,No,Relaciones de familia,"Deberes de responsabilidad parental o familiar, divorcio y cese de convivencia, violencia intrafamiliar",Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-13,,4565554505,Urgencia,Ciudadano,No,Salud,Salud mental,,,Línea 145,,,
2020-01-13,,6565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Córdoba,Córdoba,Línea 145,,,
2020-01-13,,7565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-13,,8475554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Neuquén,Neuquen,telefono institucional,,,
2020-01-13,,2575554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Neuquén,San Martín de los Andes,teléfono institucional del Programa,Buenos Aires,,
2020-01-14,,7575554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,,
2020-01-14,,2584654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,Línea 145,,,
2020-01-15,,3584654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Santa Fe,Barrancas,Línea 145,Santa Fe,,
2020-01-15,,4584654505,Urgencia,Ciudadano,No,Trata,Articulacion,Corrientes,Paso de los Libres,Línea 145,,,
2020-01-15,,7584654505,Urgencia,Ciudadano,Si,Relaciones de familia,Violencia intrafamiliar,Tucumán,,Línea 145,,,
2020-01-16,,4594654505,Urgencia,Ciudadano,No,Violencia de género,Psicológica,Santa Fe,Santa Fe,Línea 145,Santa Fe,,
2020-01-16,,6594654505,Urgencia,Ciudadano,Si,Trata,Encuesta sobre trata,Mendoza,Luján de Cuyo,Línea 145,,,
2020-01-16,,7594654505,Urgencia,Ciudadano,Si,Relaciones de familia,Violencia intrafamiliar,Tucumán,San Miguel de Tucumán,Línea 145,,,
2020-01-16,,1505654505,Urgencia,Ciudadano,No,Violencia de género,"Económica, psicológica",Buenos Aires,Cuidad Autónoma de Buenos Aires,Línea 145,Buenos Aires,"No sabe, no recuerda",
2020-01-16,,3505654505,Urgencia,Ciudadano,Si,Violencia de género,Sexual,Corrientes,Santa Lucía,Línea 145,,"No sabe, no recuerda",
2020-01-17,,7505654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,Línea 145,,"No sabe, no recuerda",
2020-01-17,,9415654505,Urgencia,Ciudadano,No,Relaciones de familia,"Cuidado personal, régimen comunicacional o custodia legal, deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo",Córdoba,Córdoba,Línea 145,Córdoba,,
2020-01-17,,515654505,Urgencia,Ciudadano,No,Trata,"Posible captación, traslado de personas",Buenos Aires,Buenos Aires,Correo Institucional,,,
2020-01-18,,6515654505,Urgencia,Ciudadano,Si,Trata,Persona desaparecida,,,Línea 145,,,
2020-01-19,,8425654505,Urgencia,Ciudadano,No,Trata,Problemas familiares,Formosa,Clorinda,Línea 145,Formosa,,
2020-01-20,,3525654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,San Martín,Línea 145,Ciudad Autónoma de Buenos Aires,,
2020-01-21,,5535654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,Cipolletti,Línea 145,,Derivado de otro organismo,35.0
2020-01-21,,6535654505,Urgencia,Ciudadano,Si,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,,
2020-01-21,,7535654505,Urgencia,Ciudadano,No,Trata,"Persona desaparecida, posible captación",Buenos Aires,Los Polvorines,Línea 145,,Derivado de otro organismo,48.0
2020-01-21,,8445654505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",,,Línea 145,,Por publicidad en internet,50.0
2020-01-21,,3545654505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Belén de Escobar,Línea 145,,,
2020-01-22,,7545654505,Urgencia,Ciudadano,Si,Víctima de delito,Violencia de género,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-01-22,,1555654505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,Buenos Aires,,
2020-01-23,,5555654505,Urgencia,Ciudadano,Si,Trata,Abuso sexual infantil,Buenos Aires,La Plata,Línea 145,,,
2020-01-23,,9465654505,Urgencia,Ciudadano,Si,Trata,Posible secuestro,Santa Cruz,,Línea 145,,"No sabe, no recuerda",
2020-01-23,,1565654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,,
2020-01-24,,6565654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,,Línea 145,,,
2020-01-24,,9475654505,Urgencia,Ciudadano,No,Relaciones de familia,"Deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo, violencia intrafamiliar",Corrientes,Corrientes,Línea 145,Corrientes,,
2020-01-24,,575654505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-24,,1575654505,Urgencia,Ciudadano,Si,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-24,,2575654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-24,,4575654505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,,
2020-01-24,,5575654505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-01-25,,9484754505,Urgencia,Ciudadano,Si,Seguridad social (protección social),Acceso a prestaciones sociales de emergencia o ante situaciones críticas,Mendoza,Mendoza,Línea 145,,,
2020-01-27,,7584754505,Urgencia,Ciudadano,No,Trabajo,Cuestiones salariales o de registración,Corrientes,Monte Caseros,Línea 145,,,
2020-01-27,,8494754505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,Buenos Aires,San Isidro,Línea 145,,,
2020-01-27,,594754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,,
2020-01-28,,4594754505,Urgencia,Ciudadano,No,Trata,Posible captación,Río Negro,,Línea 145,Río Negro,,
2020-01-28,,2505754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Córdoba,Córdoba,Correo Institucional,,,
2020-01-29,,6505754505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,Línea 145,,,
2020-01-29,,7505754505,Urgencia,Ciudadano,Si,Relaciones de familia,Persona en situación de calle,Santa Fe,Venado Tuerto,Línea 145,,"No sabe, no recuerda",
2020-01-29,,8415754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,San Isidro,Línea 145,,"No sabe, no recuerda",
2020-01-30,,1515754505,Urgencia,Ciudadano,Si,Víctima de delito,Apropiacion de bienes,,,Línea 145,,,
2020-01-30,,3515754505,Urgencia,Ciudadano,Si,Acceso a documentacion personal y certificaciones,Otro,Buenos Aires,La Plata,Línea 145,Buenos Aires,,
2020-01-30,,5515754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,,
2020-01-30,,8425754505,Emergencia,Ciudadano,No,Trata,Abuso sexual infantil,Buenos Aires,Ezpeleta Oeste,Línea 145,Buenos Aires,,
2020-02-01,,5525754505,Urgencia,Ciudadano,Si,Víctima de delito,Venta de estupefacientes,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,,
2020-02-01,,6525754505,Urgencia,Ciudadano,No,Deudas (problemas de dinero),Obtención de préstamo o inversión propia,Misiones,MIsiones,Línea 145,,,
2020-02-01,,7525754505,Urgencia,Ciudadano,No,Seguridad social (protección social),Situación de calle,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-01,,8435754505,Urgencia,Ciudadano,No,Seguridad social (protección social),Situación de calle,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-01,,535754505,Urgencia,Institución,No,Abuso sexual infantil,Abuso sexual infantil,Buenos Aires,Mar del Plata,Línea 145,,,
2020-02-01,,2535754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,Línea 145,,,
2020-02-02,,3535754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",Buenos Aires,Buenos Aires,Línea 149,Mendoza,,
2020-02-02,,5535754505,Urgencia,Ciudadano,No,Justicia penal,"Situación de personas investigadas, imputadas o procesadas penalmente",Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-02,,7535754505,Urgencia,Ciudadano,No,Violencia de género,Psicológica,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-02,,8445754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",Buenos Aires,General Rodríguez,Línea 145,,,
2020-02-02,,9445754505,Urgencia,Ciudadano,No,Vivienda,"Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.",Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-02,,545754505,Urgencia,Ciudadano,No,Salud,Salud mental,Entre Ríos,,Línea 145,,Derivado de otro organismo,58.0
2020-02-02,,2545754505,Urgencia,Ciudadano,No,Trata,"Explotación sexual, persona desaparecida, problemas de salud mental",Buenos Aires,José C. Paz,Línea 145,,,
2020-02-04,,9455754505,Urgencia,Ciudadano,No,Violencia de género,"Física, psicológica",Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-04,,555754505,Urgencia,Ciudadano,Si,Trata,"Pornografía infantil, perverso",Córdoba,Córdoba,Línea 145,Córdoba,,
2020-02-04,,2555754505,Urgencia,Institución,No,Trata,"Posible captación, desaparición",Buenos Aires,Tigre,Correo Institucional,,,
2020-02-04,,3555754505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Burzaco,Línea 145,Buenos Aires,,
2020-02-04,,4555754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Neuquén,Neuquén,Línea 145,,"No sabe, no recuerda",57.0
2020-02-05,,9465754505,Urgencia,Ciudadano,No,Violencia de género,Física,Santa Fe,Rosario,Línea 145,,"No sabe, no recuerda",
2020-02-05,,1565754505,Urgencia,Ciudadano,No,Trata,Adultos mayores,Buenos Aires,Florencio Varela,Correo Institucional,,"No sabe, no recuerda",
2020-02-05,,5565754505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Gerli,Línea 145,,,
2020-02-05,,6565754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,Buenos Aires,,
2020-02-06,,8475754505,Urgencia,Ciudadano,No,Violencia de género,Física,Buenos Aires,"Capitán Sarmiento, Buenos Aires",Línea 145,,"No sabe, no recuerda",
2020-02-06,,575754505,Urgencia,Ciudadano,No,Salud,Salud mental,Formosa,Clorinda,Línea 145,Formosa,"No sabe, no recuerda",
2020-02-07,,3575754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-07,,8484845505,Urgencia,Ciudadano,No,Trata,Problemas de identidad de género,Córdoba,Córdoba,Línea 145,Córdoba,,
2020-02-08,,3584845505,Emergencia,Institución,No,Trata,Explotación sexual,,,Línea 145,,,
2020-02-08,,4584845505,Urgencia,Institución,No,Trata,Persona desaparecida,Buenos Aires,Hurlingham,Correo Institucional,,,
2020-02-08,,6584845505,Urgencia,Ciudadano,No,Trata,Ofrecimiento,Buenos Aires,Buenos Aires,Línea 145,Salta,"No sabe, no recuerda",
2020-02-08,,7584845505,Urgencia,Institución,No,Trata,Explotación sexual,Jujuy,Jujuy,Línea 145,,,
2020-02-08,,8494845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,,"No sabe, no recuerda",
2020-02-09,,5594845505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Lomas de Zamora,Línea 145,,,
2020-02-10,,8405845505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Esquina,Línea 145,Corrientes,,
2020-02-10,,9405845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,Línea 145,,,
2020-02-10,,1505845505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,Línea 145,,,
2020-02-10,,3505845505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,Mendoza,Línea 145,,,
2020-02-11,,5505845505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,San Luis,San Luis,Línea 145,Buenos Aires,,
2020-02-11,,6505845505,Urgencia,Ciudadano,No,Trata,Otro,Buenos Aires,Marcos Paz,Correo Institucional,,Por publicidad en internet,
2020-02-11,,8415845505,Urgencia,Ciudadano,No,Trata,Posible captación,,,Línea 145,,Por publicidad en internet,40.0
2020-02-11,,515845505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,,,Línea 145,,"No sabe, no recuerda",
2020-02-13,,525845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Salta,Salta,Línea 145,Salta,"No sabe, no recuerda",
2020-02-13,,1525845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Neuquén,Neuquen,Línea 145,,,
2020-02-13,,3525845505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Corrientes,Línea 145,Corrientes,,
2020-02-13,,6525845505,Urgencia,Ciudadano,No,Trata,Orientación,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-02-14,,1535845505,Urgencia,Ciudadano,No,Trata,Publicidad de oferta sexual,,,Línea 145,Buenos Aires,"No sabe, no recuerda",
2020-02-14,,6535845505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Olivos,Correo Institucional,,,
2020-02-14,,9445845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-14,,2545845505,Urgencia,Ciudadano,No,Trata,Grooming,,,Línea 145,,"No sabe, no recuerda",
2020-02-15,,5545845505,Urgencia,Ciudadano,No,Trata,Abuso sexual infantil,Corrientes,Esquina,Línea 145,Corrientes,,
2020-02-16,,9455845505,Urgencia,Ciudadano,Si,Relaciones de familia,Deberes de responsabilidad parental o familiar,Mendoza,Pablo Sexto,Línea 145,,,
2020-02-16,,555845505,Urgencia,Ciudadano,No,Trata,Maltrato,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-16,,1555845505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,El Jagüel,Línea 145,,,
2020-02-17,,7555845505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Bahía Blanca,Línea 145,,,
2020-02-17,,8465845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,Tucumán,,
2020-02-17,,9465845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Chaco,Resistencia,Línea 145,,,
2020-02-17,,1565845505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Neuquén,Neuquén,Línea 145,,,
2020-02-18,,3565845505,Urgencia,Ciudadano,No,Trata,"Explotación laboral, consulta judicialización",Buenos Aires,Bahía Blanca,Línea 145,Misiones,,
2020-02-18,,4565845505,Urgencia,Institución,No,Trata,Solicita información sobre la línea,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,Derivación institucional,
2020-02-18,,5565845505,Urgencia,Ciudadano,No,Trata,Situación de trabajo irregular,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,Por Recomendación,
2020-02-19,,2575845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,Línea 145,,"No sabe, no recuerda",
2020-02-19,,4575845505,Urgencia,Ciudadano,No,Salud,Salud mental,Entre Ríos,Paraná,Línea 145,,,
2020-02-19,,7575845505,Urgencia,Ciudadano,No,Salud,Salud mental,Formosa,Clorinda,Línea 145,Formosa,,
2020-02-20,,8484945505,Urgencia,Ciudadano,No,Trata,Violencia,Santa Fe,San Lorenzo,Línea 145,,,
2020-02-20,,9484945505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-02-20,,584945505,Urgencia,Ciudadano,No,Trata,No aplica,,,Correo Institucional,,"No sabe, no recuerda",
2020-02-20,,2584945505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,Línea 145,,"No sabe, no recuerda",
2020-02-20,,4584945505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,San José,Línea 145,,"No sabe, no recuerda",
2020-02-20,,5584945505,Urgencia,Ciudadano,Si,Trata,Trabajo no registrado,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-02-20,,6584945505,Urgencia,Ciudadano,Si,Trata,Otro,,,Línea 145,,Por publicidad en internet,
2020-02-21,,8494945505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-02-21,,1594945505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,,,
2020-02-22,,7594945505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Los Hornos,Línea 145,Buenos Aires,,
2020-02-23,,9405945505,Urgencia,Ciudadano,No,Violencia de género,Simbólica,,,Línea 145,,,
2020-02-23,,1505945505,Urgencia,Ciudadano,No,Trata,Salud mental,Buenos Aires,Liniers,Línea 145,,,
2020-02-23,,3505945505,Urgencia,Ciudadano,No,Trata,Abuso sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-23,,7505945505,Urgencia,Ciudadano,No,Trabajo,Cuestiones salariales o de registración,Corrientes,Corrientes,Línea 145,,,
2020-02-24,,515945505,Urgencia,Ciudadano,No,Relaciones de familia,Violencia intrafamiliar,Chaco,La Leonesa,Línea 145,,"No sabe, no recuerda",35.0
2020-02-24,,2515945505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Zarate,Línea 145,,Por publicidad en internet,28.0
2020-02-24,,3515945505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,Buenos Aires,Isidro Casanova,Línea 145,,,
2020-02-25,,4515945505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Salta,General Mosconi,Línea 145,,,20.0
2020-02-25,,8425945505,Urgencia,Ciudadano,Si,Trata,Otro,,,Correo Institucional,,Por publicidad en internet,
2020-02-25,,9425945505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,Línea 145,,Por Recomendación,75.0
2020-02-26,,3525945505,Urgencia,Ciudadano,No,Trata,Posible captación,Córdoba,Córdoba,Línea 145,Córdoba,,
2020-02-26,,5525945505,Urgencia,Institución,No,Trata,Persona internada en guardia de hospital,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,,,
2020-02-26,,9435945505,Urgencia,Ciudadano,No,Abuso sexual infantil,Abuso sexual infantil,Buenos Aires,San Miguel,Línea 145,,boca en boca,
2020-02-26,,1535945505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,,Línea 145,,,
2020-02-26,,2535945505,Urgencia,Ciudadano,No,Trata,Sitaucion extraña en ypf,Buenos Aires,Campana,Línea 145,,,
2020-02-26,,4535945505,Urgencia,Ciudadano,No,Violencia de género,Simbólica,Buenos Aires,Buenos Aires,Línea 145,,,
2020-02-27,,1545945505,Urgencia,Institución,No,Trata,Prostitución,Buenos Aires,Devoto,Línea 145,,"No sabe, no recuerda",
2020-02-27,,5545945505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,Línea 145,,Por publicidad en internet,37.0
2020-02-27,,6545945505,Urgencia,Ciudadano,No,Trata,Posible captación,,,Línea 145,,Por publicidad en internet,35.0
2020-02-28,,8455945505,Urgencia,Ciudadano,No,Víctima de delito,Otro (víctimas de delito),Buenos Aires,Grand Bourg,Línea 145,Buenos Aires,Por publicidad en internet,
2020-02-28,,555945505,Urgencia,Ciudadano,Si,Violencia de género,Psicológica,Buenos Aires,Hurlingham,Línea 145,Buenos Aires,Por Recomendación,
2020-02-28,,2555945505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Tierra del Fuego,Ushuaia,Línea 145,,"No sabe, no recuerda",
2020-02-28,,3555945505,Urgencia,Ciudadano,No,Trata,Maltrato infantil,Santa Fe,Rosario,Línea 145,,Línea 145,
2020-03-01,,4565945505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Santiago del Estero,Santiago del Estero,Línea 145,,Por Recomendación,45.0
2020-03-01,,8475945505,Urgencia,Ciudadano,No,Trata,Salud mental,Buenos Aires,José C. Paz,Línea 145,,,
2020-03-03,,2584055505,Urgencia,Ciudadano,No,Trata,Posible oferta sexual,Buenos Aires,La Plata,Línea 145,Buenos Aires,"No sabe, no recuerda",
2020-03-03,,4584055505,Urgencia,Ciudadano,No,Violencia de género,Física,Catamarca,Catamarca,Línea 145,Catamarca,,
2020-03-04,,8494055505,Urgencia,Ciudadano,No,Trata,Venta de niños y otros delitos,Buenos Aires,Buenos Aires,Línea 145,Buenos Aires,Línea 145,
2020-03-04,,1594055505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,San Miguel del Monte,Línea 145,Buenos Aires,,
2020-03-04,,3594055505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-03-05,,4505055505,Urgencia,Ciudadano,Si,Relaciones de familia,Niño solo en su casa,,,Línea 145,,Línea 145,
2020-03-05,,5505055505,Urgencia,Ciudadano,No,Trata,Solicitu de llamado,,,Línea 145,,"No sabe, no recuerda",
2020-03-05,,9415055505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,Correo Institucional,,Línea 145,
2020-03-05,,515055505,Urgencia,Ciudadano,No,Trata,Problema de consumo de drogas,Santa Fe,Funes,Línea 145,,,
2020-03-05,,1515055505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,la Matanza,Línea 145,,,
2020-03-05,,2515055505,Urgencia,Ciudadano,No,Trata,Vulnerabilidad social,Chubut,,Línea 145,,,
2020-03-05,,3515055505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Corrientes,Guaviraví,Línea 145,,,
2020-03-05,,4515055505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Buenos Aires,Línea 145,,,
