fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,provincia,localidad,tema,subtema,es_anonima,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente
2020-01-27 00:00:00-03:00,,7584754505,Urgencia,Ciudadano,Corrientes,Monte Caseros,Trabajo,Cuestiones salariales o de registración,No,Línea 145,,,,,Hombre,
2020-01-27 00:00:00-03:00,,8494754505,Urgencia,Ciudadano,Buenos Aires,San Isidro,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,No,Línea 145,,,,,,
2020-01-27 00:00:00-03:00,,594754505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Explotación sexual,Si,Línea 145,,,,,,
2020-01-28 00:00:00-03:00,,4594754505,Urgencia,Ciudadano,Río Negro,,Trata,Posible captación,No,Línea 145,,Río Negro,San Carlos de Bariloche,,Mujer,
2020-01-28 00:00:00-03:00,,2505754505,Urgencia,Ciudadano,Córdoba,Córdoba,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",No,Correo Institucional,,,,,Mujer,
2020-01-29 00:00:00-03:00,,6505754505,Urgencia,Ciudadano,,,Trata,Persona desaparecida,No,Línea 145,,,,,Hombre,
2020-01-29 00:00:00-03:00,,7505754505,Urgencia,Ciudadano,Santa Fe,Venado Tuerto,Relaciones de familia,Persona en situación de calle,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-01-29 00:00:00-03:00,,8415754505,Urgencia,Ciudadano,Buenos Aires,San Isidro,Trata,Explotación sexual,No,Línea 145,,,,"No sabe, no recuerda",,
2020-01-30 00:00:00-03:00,,1515754505,Urgencia,Ciudadano,,,Víctima de delito,Apropiacion de bienes,Si,Línea 145,,,,,,
2020-01-30 00:00:00-03:00,,3515754505,Urgencia,Ciudadano,Buenos Aires,La Plata,Acceso a documentacion personal y certificaciones,Otro,Si,Línea 145,,Buenos Aires,Florencio Varela,,Hombre,
2020-01-30 00:00:00-03:00,,5515754505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Explotación sexual,Si,Línea 145,,,,,Mujer,
2020-01-30 00:00:00-03:00,,8425754505,Emergencia,Ciudadano,Buenos Aires,Ezpeleta Oeste,Trata,Abuso sexual infantil,No,Línea 145,Argentina,Buenos Aires,Ezpeleta,,Mujer,
2020-02-01 00:00:00-03:00,,5525754505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Víctima de delito,Venta de estupefacientes,Si,Línea 145,,,,,Mujer,
2020-02-01 00:00:00-03:00,,6525754505,Urgencia,Ciudadano,Misiones,MIsiones,Deudas (problemas de dinero),Obtención de préstamo o inversión propia,No,Línea 145,,,,,Hombre,
2020-02-01 00:00:00-03:00,,7525754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Seguridad social (protección social),Situación de calle,No,Línea 145,,,,,Hombre,
2020-02-01 00:00:00-03:00,,8435754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Seguridad social (protección social),Situación de calle,No,Línea 145,,,,,Hombre,
2020-02-01 00:00:00-03:00,,535754505,Urgencia,Institución,Buenos Aires,Mar del Plata,Abuso sexual infantil,Abuso sexual infantil,No,Línea 145,,,,,Mujer,
2020-02-01 00:00:00-03:00,,2535754505,Urgencia,Ciudadano,,,Trata,Explotación sexual,Si,Línea 145,,,,,Hombre,
2020-02-02 00:00:00-03:00,,3535754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",No,Línea 149,,Mendoza,Maipú,,Mujer,
2020-02-02 00:00:00-03:00,,5535754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Justicia penal,"Situación de personas investigadas, imputadas o procesadas penalmente",No,Línea 145,Argentina,,,,Hombre,
2020-02-02 00:00:00-03:00,,7535754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Violencia de género,Psicológica,No,Línea 145,Argentina,,,,Hombre,
2020-02-02 00:00:00-03:00,,8445754505,Urgencia,Ciudadano,Buenos Aires,General Rodríguez,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",No,Línea 145,,,,,Hombre,
2020-02-02 00:00:00-03:00,,9445754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Vivienda,"Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.",No,Línea 145,Venezuela,,,,Hombre,
2020-02-02 00:00:00-03:00,,545754505,Urgencia,Ciudadano,Entre Ríos,,Salud,Salud mental,No,Línea 145,Argentina,,,Derivado de otro organismo,Mujer,58.0
2020-02-02 00:00:00-03:00,,2545754505,Urgencia,Ciudadano,Buenos Aires,José C. Paz,Trata,"Explotación sexual, persona desaparecida, problemas de salud mental",No,Línea 145,,,,,Mujer,
2020-02-04 00:00:00-03:00,,9455754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Violencia de género,"Física, psicológica",No,Línea 145,Argentina,,,,Hombre,
2020-02-04 00:00:00-03:00,,555754505,Urgencia,Ciudadano,Córdoba,Córdoba,Trata,"Pornografía infantil, perverso",Si,Línea 145,,Córdoba,Córdoba,,Hombre,
2020-02-04 00:00:00-03:00,,2555754505,Urgencia,Institución,Buenos Aires,Tigre,Trata,"Posible captación, desaparición",No,Correo Institucional,,,,,,
2020-02-04 00:00:00-03:00,,3555754505,Urgencia,Ciudadano,Buenos Aires,Burzaco,Trata,"Explotación sexual niñas, niños y adolescentes",Si,Línea 145,,Buenos Aires,almirante brown,,,
2020-02-04 00:00:00-03:00,,4555754505,Urgencia,Ciudadano,Neuquén,Neuquén,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,57.0
2020-02-05 00:00:00-03:00,,9465754505,Urgencia,Ciudadano,Santa Fe,Rosario,Violencia de género,Física,No,Línea 145,,,,"No sabe, no recuerda",Hombre,
2020-02-05 00:00:00-03:00,,1565754505,Urgencia,Ciudadano,Buenos Aires,Florencio Varela,Trata,Adultos mayores,No,Correo Institucional,,,,"No sabe, no recuerda",Mujer,
2020-02-05 00:00:00-03:00,,5565754505,Urgencia,Ciudadano,Buenos Aires,Gerli,Trata,Posible captación,No,Línea 145,,,,,,
2020-02-05 00:00:00-03:00,,6565754505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Explotación sexual,No,Línea 145,Argentina,Buenos Aires,Mar del Plata,,Mujer,
2020-02-06 00:00:00-03:00,,8475754505,Urgencia,Ciudadano,Buenos Aires,"Capitán Sarmiento, Buenos Aires",Violencia de género,Física,No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-02-06 00:00:00-03:00,,575754505,Urgencia,Ciudadano,Formosa,Clorinda,Salud,Salud mental,No,Línea 145,,Formosa,#¿NOMBRE?,"No sabe, no recuerda",Mujer,
2020-02-07 00:00:00-03:00,,3575754505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,No,Línea 145,,,,,,
2020-02-07 00:00:00-03:00,,8484845505,Urgencia,Ciudadano,Córdoba,Córdoba,Trata,Problemas de identidad de género,No,Línea 145,Argentina,Córdoba,Córdoba,,Travesti,
2020-02-08 00:00:00-03:00,,3584845505,Emergencia,Institución,,,Trata,Explotación sexual,No,Línea 145,,,,,,
2020-02-08 00:00:00-03:00,,4584845505,Urgencia,Institución,Buenos Aires,Hurlingham,Trata,Persona desaparecida,No,Correo Institucional,,,,,,
2020-02-08 00:00:00-03:00,,6584845505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Ofrecimiento,No,Línea 145,,Salta,Salta,"No sabe, no recuerda",Mujer,
2020-02-08 00:00:00-03:00,,7584845505,Urgencia,Institución,Jujuy,Jujuy,Trata,Explotación sexual,No,Línea 145,,,,,Hombre,
2020-02-08 00:00:00-03:00,,8494845505,Urgencia,Ciudadano,,,Trata,Explotación laboral,No,Línea 145,Argentina,,,"No sabe, no recuerda",Hombre,
2020-02-09 00:00:00-03:00,,5594845505,Urgencia,Ciudadano,Buenos Aires,Lomas de Zamora,Salud,Salud mental,No,Línea 145,Argentina,,,,Mujer,
2020-02-10 00:00:00-03:00,,8405845505,Urgencia,Ciudadano,Corrientes,Esquina,Trata,Explotación sexual,No,Línea 145,,Corrientes,Corrientes,,Mujer,
2020-02-10 00:00:00-03:00,,9405845505,Urgencia,Ciudadano,,,Trata,Explotación sexual,Si,Línea 145,,,,,,
2020-02-10 00:00:00-03:00,,1505845505,Urgencia,Ciudadano,,,Trata,Persona desaparecida,No,Línea 145,,,,,,
2020-02-10 00:00:00-03:00,,3505845505,Urgencia,Ciudadano,Mendoza,Mendoza,Trata,Posible captación,No,Línea 145,,,,,,
2020-02-11 00:00:00-03:00,,5505845505,Urgencia,Ciudadano,San Luis,San Luis,Trata,Oferta laboral engañosa,No,Línea 145,Argentina,Buenos Aires,Ramos Mejía,,Mujer,
2020-02-11 00:00:00-03:00,,6505845505,Urgencia,Ciudadano,Buenos Aires,Marcos Paz,Trata,Otro,No,Correo Institucional,,,,Por publicidad en internet,Mujer,
2020-02-11 00:00:00-03:00,,8415845505,Urgencia,Ciudadano,,,Trata,Posible captación,No,Línea 145,Argentina,,,Por publicidad en internet,Mujer,40.0
2020-02-11 00:00:00-03:00,,515845505,Urgencia,Ciudadano,,,Trata,Oferta laboral engañosa,No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-02-13 00:00:00-03:00,,525845505,Urgencia,Ciudadano,Salta,Salta,Trata,Explotación laboral,No,Línea 145,,Salta,Salta,"No sabe, no recuerda",Mujer,
2020-02-13 00:00:00-03:00,,1525845505,Urgencia,Ciudadano,Neuquén,Neuquen,Trata,Explotación sexual,Si,Línea 145,,,,,Mujer,
2020-02-13 00:00:00-03:00,,3525845505,Urgencia,Ciudadano,Corrientes,Corrientes,Trata,Explotación sexual,No,Línea 145,,Corrientes,Corrientes,,Mujer,
2020-02-13 00:00:00-03:00,,6525845505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Orientación,No,Línea 145,,,,"No sabe, no recuerda",,
2020-02-14 00:00:00-03:00,,1535845505,Urgencia,Ciudadano,,,Trata,Publicidad de oferta sexual,No,Línea 145,Argentina,Buenos Aires,La Plata,"No sabe, no recuerda",Mujer,
2020-02-14 00:00:00-03:00,,6535845505,Urgencia,Ciudadano,Buenos Aires,Olivos,Salud,Salud mental,No,Correo Institucional,,,,,,
2020-02-14 00:00:00-03:00,,9445845505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,Si,Línea 145,Argentina,,,,Mujer,
2020-02-14 00:00:00-03:00,,2545845505,Urgencia,Ciudadano,,,Trata,Grooming,No,Línea 145,,,,"No sabe, no recuerda",,
2020-02-15 00:00:00-03:00,,5545845505,Urgencia,Ciudadano,Corrientes,Esquina,Trata,Abuso sexual infantil,No,Línea 145,,Corrientes,Corrientes,,Mujer,
2020-02-16 00:00:00-03:00,,9455845505,Urgencia,Ciudadano,Mendoza,Pablo Sexto,Relaciones de familia,Deberes de responsabilidad parental o familiar,Si,Línea 145,Argentina,,,,Mujer,
2020-02-16 00:00:00-03:00,,555845505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Maltrato,No,Línea 145,Argentina,,,,Hombre,
2020-02-16 00:00:00-03:00,,1555845505,Urgencia,Ciudadano,Buenos Aires,El Jagüel,Trata,Persona desaparecida,No,Línea 145,Argentina,,,,Mujer,
2020-02-17 00:00:00-03:00,,7555845505,Urgencia,Ciudadano,Buenos Aires,Bahía Blanca,Trata,Posible captación,No,Línea 145,,,,,Mujer,
2020-02-17 00:00:00-03:00,,8465845505,Urgencia,Ciudadano,,,Trata,Explotación laboral,No,Línea 145,Argentina,Tucumán,San Miguel de Tucumán,,Hombre,
2020-02-17 00:00:00-03:00,,9465845505,Urgencia,Ciudadano,Chaco,Resistencia,Trata,Explotación laboral,No,Línea 145,Argentina,,,,Hombre,
2020-02-17 00:00:00-03:00,,1565845505,Urgencia,Ciudadano,Neuquén,Neuquén,Trata,Persona desaparecida,No,Línea 145,,,,,,
2020-02-18 00:00:00-03:00,,3565845505,Urgencia,Ciudadano,Buenos Aires,Bahía Blanca,Trata,"Explotación laboral, consulta judicialización",No,Línea 145,Argentina,Misiones,,,Hombre,
2020-02-18 00:00:00-03:00,,4565845505,Urgencia,Institución,Buenos Aires,Buenos Aires,Trata,Solicita información sobre la línea,No,Línea 145,Argentina,Buenos Aires,Buenos Aires,Derivación institucional,Mujer,
2020-02-18 00:00:00-03:00,,5565845505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Situación de trabajo irregular,No,Línea 145,Bolivia,Buenos Aires,Buenos Aires,Por Recomendación,Hombre,
2020-02-19 00:00:00-03:00,,2575845505,Urgencia,Ciudadano,,,Trata,Explotación sexual,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-02-19 00:00:00-03:00,,4575845505,Urgencia,Ciudadano,Entre Ríos,Paraná,Salud,Salud mental,No,Línea 145,,,,,,
2020-02-19 00:00:00-03:00,,7575845505,Urgencia,Ciudadano,Formosa,Clorinda,Salud,Salud mental,No,Línea 145,,Formosa,#¿NOMBRE?,,Mujer,
2020-02-20 00:00:00-03:00,,8484945505,Urgencia,Ciudadano,Santa Fe,San Lorenzo,Trata,Violencia,No,Línea 145,,,,,,
2020-02-20 00:00:00-03:00,,9484945505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,No,Línea 145,,,,"No sabe, no recuerda",Mujer,
2020-02-20 00:00:00-03:00,,584945505,Urgencia,Ciudadano,,,Trata,No aplica,No,Correo Institucional,,,,"No sabe, no recuerda",Hombre,
2020-02-20 00:00:00-03:00,,2584945505,Urgencia,Ciudadano,,,Trata,Explotación sexual,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-02-20 00:00:00-03:00,,4584945505,Urgencia,Ciudadano,Buenos Aires,San José,Trata,Persona desaparecida,No,Línea 145,,,,"No sabe, no recuerda",,
2020-02-20 00:00:00-03:00,,5584945505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Trabajo no registrado,Si,Línea 145,,,,"No sabe, no recuerda",,
