fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_tipo,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente,provincia_indec_id
2020-01-03,,8405554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,6
2020-01-03,,2505554505,Urgencia,Ciudadano,Si,Violencia de género,Física,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,90
2020-01-04,,3505554505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,
2020-01-04,,4505554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Santa Fe,Rosario,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,82
2020-01-04,,5505554505,Urgencia,Ciudadano,No,Derechos de usuarios/as y consumidores/as,Transporte de larga distancia,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,
2020-01-04,,6505554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante - ciudadano,,Mujer,,
2020-01-05,,515554505,Urgencia,Ciudadano,No,Violencia de género,Sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Bolivia,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Consultante - ciudadano,,Mujer,15,2
2020-01-05,,1515554505,Urgencia,Ciudadano,No,Violencia de género,Física,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,14
2020-01-06,,4515554505,Urgencia,Ciudadano,No,Trata,"Posible captación, abuso sexual",Buenos Aires,Hurlingham,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Hurlingham,Consultante - ciudadano,,Mujer,,6
2020-01-06,,6515554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,,,6
2020-01-09,,8445554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-01-09,,1545554505,Urgencia,Ciudadano,No,Relaciones de familia,Disputas familiares,Tucumán,Tucumán,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,90
2020-01-09,,3545554505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,Salta,Salta,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Por publicidad en internet,Mujer,30,66
2020-01-10,,6545554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Entre Ríos,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,30
2020-01-10,,555554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-11,,5555554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Cañuelas,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Cañuelas,Consultante,Derivado de otro organismo,Mujer,32,6
2020-01-11,,7555554505,Urgencia,Institución,No,Víctima de delito,"Contra la integridad sexual: corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming, contra la libertad: trata de personas con fines de explotación sexual o laboral",,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Derivado de otro organismo,Mujer,,
2020-01-12,,3565554505,Urgencia,Ciudadano,No,Relaciones de familia,"Deberes de responsabilidad parental o familiar, divorcio y cese de convivencia, violencia intrafamiliar",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,,Hombre,,6
2020-01-13,,4565554505,Urgencia,Ciudadano,No,Salud,Salud mental,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,
2020-01-13,,6565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Córdoba,Córdoba,PNR - Línea 145,Línea 145,,,,,,,,14
2020-01-13,,7565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Hombre,,6
2020-01-13,,8475554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Neuquén,Neuquen,PNR - Línea 145,telefono institucional,,,,,,,,58
2020-01-13,,2575554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Neuquén,San Martín de los Andes,PNR - Línea 145,teléfono institucional del Programa,Argentina,Buenos Aires,La Plata,Consultante - ciudadano,,Hombre,,58
2020-01-14,,7575554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-14,,2584654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Hombre,,
2020-01-15,,3584654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Santa Fe,Barrancas,PNR - Línea 145,Línea 145,,Santa Fe,Santa Fe,Consultante - ciudadano,,Mujer,,82
2020-01-15,,4584654505,Urgencia,Ciudadano,No,Trata,Articulacion,Corrientes,Paso de los Libres,PNR - Línea 145,Línea 145,,,,,,,,18
2020-01-15,,7584654505,Urgencia,Ciudadano,Si,Relaciones de familia,Violencia intrafamiliar,Tucumán,,PNR - Línea 145,Línea 145,,,,,,,,90
2020-01-16,,4594654505,Urgencia,Ciudadano,No,Violencia de género,Psicológica,Santa Fe,Santa Fe,PNR - Línea 145,Línea 145,,Santa Fe,Santa Fe,Consultante - ciudadano,,Mujer,,82
2020-01-16,,6594654505,Urgencia,Ciudadano,Si,Trata,Encuesta sobre trata,Mendoza,Luján de Cuyo,PNR - Línea 145,Línea 145,,,,Consultante,,Mujer,,50
2020-01-16,,7594654505,Urgencia,Ciudadano,Si,Relaciones de familia,Violencia intrafamiliar,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,90
2020-01-16,,1505654505,Urgencia,Ciudadano,No,Violencia de género,"Económica, psicológica",Buenos Aires,Cuidad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,,Buenos Aires,Buenos Aires,Consultante,"No sabe, no recuerda",Mujer,,6
2020-01-16,,3505654505,Urgencia,Ciudadano,Si,Violencia de género,Sexual,Corrientes,Santa Lucía,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,"No sabe, no recuerda",,,18
2020-01-17,,7505654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-01-17,,9415654505,Urgencia,Ciudadano,No,Relaciones de familia,"Cuidado personal, régimen comunicacional o custodia legal, deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo",Córdoba,Córdoba,PNR - Línea 145,Línea 145,Argentina,Córdoba,Córdoba,Consultante,,Mujer,,14
2020-01-17,,515654505,Urgencia,Ciudadano,No,Trata,"Posible captación, traslado de personas",Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Argentina,,,Consultante,,Mujer,,6
2020-01-18,,6515654505,Urgencia,Ciudadano,Si,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,,,,,,,,
2020-01-19,,8425654505,Urgencia,Ciudadano,No,Trata,Problemas familiares,Formosa,Clorinda,PNR - Línea 145,Línea 145,Argentina,Formosa,Clorinda,Consultante - ciudadano,,,,34
2020-01-20,,3525654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,San Martín,PNR - Línea 145,Línea 145,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Consultante - ciudadano,,Mujer,,6
2020-01-21,,5535654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,Cipolletti,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Derivado de otro organismo,Mujer,35,62
2020-01-21,,6535654505,Urgencia,Ciudadano,Si,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-21,,7535654505,Urgencia,Ciudadano,No,Trata,"Persona desaparecida, posible captación",Buenos Aires,Los Polvorines,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Derivado de otro organismo,Hombre,48,6
2020-01-21,,8445654505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Por publicidad en internet,Hombre,50,
2020-01-21,,3545654505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Belén de Escobar,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,6
2020-01-22,,7545654505,Urgencia,Ciudadano,Si,Víctima de delito,Violencia de género,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",Hombre,,2
2020-01-22,,1555654505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,PNR - Línea 145,Línea 145,Peru,Buenos Aires,Pablo Nogués,Consultante,,,,
2020-01-23,,5555654505,Urgencia,Ciudadano,Si,Trata,Abuso sexual infantil,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,6
2020-01-23,,9465654505,Urgencia,Ciudadano,Si,Trata,Posible secuestro,Santa Cruz,,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,78
2020-01-23,,1565654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,2
2020-01-24,,6565654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,,,,,,,,6
2020-01-24,,9475654505,Urgencia,Ciudadano,No,Relaciones de familia,"Deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo, violencia intrafamiliar",Corrientes,Corrientes,PNR - Línea 145,Línea 145,Argentina,Corrientes,Corrientes,Consultante,,Hombre,,18
2020-01-24,,575654505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,,Hombre,,6
2020-01-24,,1575654505,Urgencia,Ciudadano,Si,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,,Hombre,,6
2020-01-24,,2575654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,,,,,6
2020-01-24,,4575654505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Buenos Aires,Consultante,,Mujer,,6
2020-01-24,,5575654505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,6
2020-01-25,,9484754505,Urgencia,Ciudadano,Si,Seguridad social (protección social),Acceso a prestaciones sociales de emergencia o ante situaciones críticas,Mendoza,Mendoza,PNR - Línea 145,Línea 145,,,,,,,,50
2020-01-27,,7584754505,Urgencia,Ciudadano,No,Trabajo,Cuestiones salariales o de registración,Corrientes,Monte Caseros,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,18
2020-01-27,,8494754505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,Buenos Aires,San Isidro,PNR - Línea 145,Línea 145,,,,,,,,6
2020-01-27,,594754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,,,2
2020-01-28,,4594754505,Urgencia,Ciudadano,No,Trata,Posible captación,Río Negro,,PNR - Línea 145,Línea 145,,Río Negro,San Carlos de Bariloche,Consultante,,Mujer,,62
2020-01-28,,2505754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Córdoba,Córdoba,PNR - Línea 145,Correo Institucional,,,,Consultante - ciudadano,,Mujer,,14
2020-01-29,,6505754505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,
2020-01-29,,7505754505,Urgencia,Ciudadano,Si,Relaciones de familia,Persona en situación de calle,Santa Fe,Venado Tuerto,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,"No sabe, no recuerda",,,82
2020-01-29,,8415754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,San Isidro,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,6
2020-01-30,,1515754505,Urgencia,Ciudadano,Si,Víctima de delito,Apropiacion de bienes,,,PNR - Línea 145,Línea 145,,,,,,,,
2020-01-30,,3515754505,Urgencia,Ciudadano,Si,Acceso a documentacion personal y certificaciones,Otro,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,,Buenos Aires,Florencio Varela,Consultante,,Hombre,,6
2020-01-30,,5515754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,2
2020-01-30,,8425754505,Emergencia,Ciudadano,No,Trata,Abuso sexual infantil,Buenos Aires,Ezpeleta Oeste,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Ezpeleta,Consultante - ciudadano,,Mujer,,6
2020-02-01,,5525754505,Urgencia,Ciudadano,Si,Víctima de delito,Venta de estupefacientes,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,2
2020-02-01,,6525754505,Urgencia,Ciudadano,No,Deudas (problemas de dinero),Obtención de préstamo o inversión propia,Misiones,MIsiones,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,54
2020-02-01,,7525754505,Urgencia,Ciudadano,No,Seguridad social (protección social),Situación de calle,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,6
2020-02-01,,8435754505,Urgencia,Ciudadano,No,Seguridad social (protección social),Situación de calle,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,6
2020-02-01,,535754505,Urgencia,Institución,No,Abuso sexual infantil,Abuso sexual infantil,Buenos Aires,Mar del Plata,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,6
2020-02-01,,2535754505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,
2020-02-02,,3535754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",Buenos Aires,Buenos Aires,PNR,Línea 149,,Mendoza,Maipú,Consultante - ciudadano,,Mujer,,6
2020-02-02,,5535754505,Urgencia,Ciudadano,No,Justicia penal,"Situación de personas investigadas, imputadas o procesadas penalmente",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,,Hombre,,6
2020-02-02,,7535754505,Urgencia,Ciudadano,No,Violencia de género,Psicológica,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Hombre,,6
2020-02-02,,8445754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra las personas : delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas",Buenos Aires,General Rodríguez,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,6
2020-02-02,,9445754505,Urgencia,Ciudadano,No,Vivienda,"Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Venezuela,,,Consultante,,Hombre,,6
2020-02-02,,545754505,Urgencia,Ciudadano,No,Salud,Salud mental,Entre Ríos,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Derivado de otro organismo,Mujer,58,30
2020-02-02,,2545754505,Urgencia,Ciudadano,No,Trata,"Explotación sexual, persona desaparecida, problemas de salud mental",Buenos Aires,José C. Paz,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,6
2020-02-04,,9455754505,Urgencia,Ciudadano,No,Violencia de género,"Física, psicológica",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante,,Hombre,,6
2020-02-04,,555754505,Urgencia,Ciudadano,Si,Trata,"Pornografía infantil, perverso",Córdoba,Córdoba,PNR - Línea 145,Línea 145,,Córdoba,Córdoba,Consultante,,Hombre,,14
2020-02-04,,2555754505,Urgencia,Institución,No,Trata,"Posible captación, desaparición",Buenos Aires,Tigre,PNR - Línea 145,Correo Institucional,,,,,,,,6
2020-02-04,,3555754505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Burzaco,PNR - Línea 145,Línea 145,,Buenos Aires,almirante brown,Consultante - ciudadano,,,,6
2020-02-04,,4555754505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Neuquén,Neuquén,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,57,58
2020-02-05,,9465754505,Urgencia,Ciudadano,No,Violencia de género,Física,Santa Fe,Rosario,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",Hombre,,82
2020-02-05,,1565754505,Urgencia,Ciudadano,No,Trata,Adultos mayores,Buenos Aires,Florencio Varela,PNR - Línea 145,Correo Institucional,,,,Consultante,"No sabe, no recuerda",Mujer,,6
2020-02-05,,5565754505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Gerli,PNR - Línea 145,Línea 145,,,,,,,,6
2020-02-05,,6565754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Mar del Plata,Consultante - ciudadano,,Mujer,,2
2020-02-06,,8475754505,Urgencia,Ciudadano,No,Violencia de género,Física,Buenos Aires,"Capitán Sarmiento, Buenos Aires",PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,6
2020-02-06,,575754505,Urgencia,Ciudadano,No,Salud,Salud mental,Formosa,Clorinda,PNR - Línea 145,Línea 145,,Formosa,#¿NOMBRE?,Consultante,"No sabe, no recuerda",Mujer,,34
2020-02-07,,3575754505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,,,,,6
2020-02-07,,8484845505,Urgencia,Ciudadano,No,Trata,Problemas de identidad de género,Córdoba,Córdoba,PNR - Línea 145,Línea 145,Argentina,Córdoba,Córdoba,Consultante,,Travesti,,14
2020-02-08,,3584845505,Emergencia,Institución,No,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,,,,Consultante,,,,
2020-02-08,,4584845505,Urgencia,Institución,No,Trata,Persona desaparecida,Buenos Aires,Hurlingham,PNR - Línea 145,Correo Institucional,,,,,,,,6
2020-02-08,,6584845505,Urgencia,Ciudadano,No,Trata,Ofrecimiento,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,Salta,Salta,Consultante,"No sabe, no recuerda",Mujer,,6
2020-02-08,,7584845505,Urgencia,Institución,No,Trata,Explotación sexual,Jujuy,Jujuy,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,38
2020-02-08,,8494845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Hombre,,
2020-02-09,,5594845505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Lomas de Zamora,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,6
2020-02-10,,8405845505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Esquina,PNR - Línea 145,Línea 145,,Corrientes,Corrientes,Consultante - ciudadano,,Mujer,,18
2020-02-10,,9405845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,,,,,,,,
2020-02-10,,1505845505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,,,,,,,,
2020-02-10,,3505845505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,Mendoza,PNR - Línea 145,Línea 145,,,,,,,,50
2020-02-11,,5505845505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,San Luis,San Luis,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,Ramos Mejía,Consultante,,Mujer,,74
2020-02-11,,6505845505,Urgencia,Ciudadano,No,Trata,Otro,Buenos Aires,Marcos Paz,PNR - Línea 145,Correo Institucional,,,,Consultante,Por publicidad en internet,Mujer,,6
2020-02-11,,8415845505,Urgencia,Ciudadano,No,Trata,Posible captación,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,Por publicidad en internet,Mujer,40,
2020-02-11,,515845505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,,,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-02-13,,525845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Salta,Salta,PNR - Línea 145,Línea 145,,Salta,Salta,Consultante,"No sabe, no recuerda",Mujer,,66
2020-02-13,,1525845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Neuquén,Neuquen,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,58
2020-02-13,,3525845505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Corrientes,PNR - Línea 145,Línea 145,,Corrientes,Corrientes,Consultante - ciudadano,,Mujer,,18
2020-02-13,,6525845505,Urgencia,Ciudadano,No,Trata,Orientación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,6
2020-02-14,,1535845505,Urgencia,Ciudadano,No,Trata,Publicidad de oferta sexual,,,PNR - Línea 145,Línea 145,Argentina,Buenos Aires,La Plata,Consultante,"No sabe, no recuerda",Mujer,,
2020-02-14,,6535845505,Urgencia,Ciudadano,No,Salud,Salud mental,Buenos Aires,Olivos,PNR - Línea 145,Correo Institucional,,,,,,,,6
2020-02-14,,9445845505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,6
2020-02-14,,2545845505,Urgencia,Ciudadano,No,Trata,Grooming,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,"No sabe, no recuerda",,,
2020-02-15,,5545845505,Urgencia,Ciudadano,No,Trata,Abuso sexual infantil,Corrientes,Esquina,PNR - Línea 145,Línea 145,,Corrientes,Corrientes,Consultante - ciudadano,,Mujer,,18
2020-02-16,,9455845505,Urgencia,Ciudadano,Si,Relaciones de familia,Deberes de responsabilidad parental o familiar,Mendoza,Pablo Sexto,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,50
2020-02-16,,555845505,Urgencia,Ciudadano,No,Trata,Maltrato,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Hombre,,6
2020-02-16,,1555845505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,El Jagüel,PNR - Línea 145,Línea 145,Argentina,,,Consultante - ciudadano,,Mujer,,6
2020-02-17,,7555845505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Bahía Blanca,PNR - Línea 145,Línea 145,,,,Consultante,,Mujer,,6
2020-02-17,,8465845505,Urgencia,Ciudadano,No,Trata,Explotación laboral,,,PNR - Línea 145,Línea 145,Argentina,Tucumán,San Miguel de Tucumán,Consultante - ciudadano,,Hombre,,
